age,job_1,job_2,job_3,job_4,job_5,job_6,job_7,job_8,job_9,job_10,job_11,job_12,marital_1,marital_2,marital_3,education_1,education_2,education_3,education_4,default,balance,housing,loan,contact_1,contact_2,contact_3,day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,duration,campaign,pdays,previous,poutcome,y
58,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2143,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,261,1,-1,0,,0
44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,29,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,151,1,-1,0,,0
33,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,76,1,-1,0,,0
47,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1506,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,92,1,-1,0,,0
33,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,198,1,-1,0,,0
35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,231,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,139,1,-1,0,,0
28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,447,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,217,1,-1,0,,0
42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,380,1,-1,0,,0
58,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,121,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,50,1,-1,0,,0
43,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,593,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,55,1,-1,0,,0
41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,270,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,222,1,-1,0,,0
29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,390,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,137,1,-1,0,,0
53,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,517,1,-1,0,,0
58,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,71,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,71,1,-1,0,,0
57,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,162,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,174,1,-1,0,,0
51,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,229,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,353,1,-1,0,,0
45,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,13,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,98,1,-1,0,,0
57,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,52,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,38,1,-1,0,,0
60,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,60,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,219,1,-1,0,,0
33,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,54,1,-1,0,,0
28,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,723,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,262,1,-1,0,,0
56,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,779,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,164,1,-1,0,,0
32,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,23,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,160,1,-1,0,,0
25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,50,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,342,1,-1,0,,0
40,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,181,1,-1,0,,0
44,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,-372,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,172,1,-1,0,,0
39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,255,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,296,1,-1,0,,0
52,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,113,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,127,1,-1,0,,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-246,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,255,2,-1,0,,0
36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,265,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,348,1,-1,0,,0
57,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,839,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,225,1,-1,0,,0
49,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,378,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,230,1,-1,0,,0
60,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,39,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,208,1,-1,0,,0
59,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,226,1,-1,0,,0
51,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10635,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,336,1,-1,0,,0
57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,63,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,242,1,-1,0,,0
25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-7,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,365,1,-1,0,,0
53,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-3,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1666,1,-1,0,,0
36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,506,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,577,1,-1,0,,0
37,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,137,1,-1,0,,0
44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2586,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,160,1,-1,0,,0
50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,49,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,180,2,-1,0,,0
60,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,104,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,22,1,-1,0,,0
54,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,529,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1492,1,-1,0,,0
58,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,96,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,616,1,-1,0,,0
36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-171,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,242,1,-1,0,,0
58,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-364,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,355,1,-1,0,,0
44,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,225,2,-1,0,,0
55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,160,1,-1,0,,0
29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,363,1,-1,0,,0
54,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1291,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,266,1,-1,0,,0
48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-244,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,253,1,-1,0,,0
32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,179,1,-1,0,,0
42,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-76,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,787,1,-1,0,,0
24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-103,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,145,1,-1,0,,0
38,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,243,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,174,1,-1,0,,0
38,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,424,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,104,1,-1,0,,0
47,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,306,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,13,1,-1,0,,0
40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,24,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,185,1,-1,0,,0
46,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,179,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1778,1,-1,0,,0
32,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,138,1,-1,0,,0
53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,989,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,812,1,-1,0,,0
57,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,249,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,164,1,-1,0,,0
33,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,790,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,391,1,-1,0,,0
49,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,154,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,357,1,-1,0,,0
51,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6530,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,91,1,-1,0,,0
60,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,100,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,528,1,-1,0,,0
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,273,1,-1,0,,0
55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1205,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,158,2,-1,0,,0
35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12223,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,177,1,-1,0,,0
57,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5935,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,258,1,-1,0,,0
31,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,25,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,172,1,-1,0,,0
54,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,282,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,154,1,-1,0,,0
55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,23,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,291,1,-1,0,,0
43,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1937,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,181,1,-1,0,,0
53,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,384,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,176,1,-1,0,,0
44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,582,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,211,1,-1,0,,0
55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,91,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,349,1,-1,0,,0
49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,272,1,-1,0,,0
55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,208,1,-1,0,,0
45,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,206,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,193,1,-1,0,,0
47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,164,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,212,1,-1,0,,0
42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,690,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,20,1,-1,0,,0
59,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2343,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1042,1,-1,0,,1
46,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,137,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,246,1,-1,0,,0
51,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,173,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,529,2,-1,0,,0
56,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,45,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1467,1,-1,0,,1
41,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1270,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1389,1,-1,0,,1
46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,16,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,188,2,-1,0,,0
57,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,486,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,180,2,-1,0,,0
42,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,50,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,48,1,-1,0,,0
30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,152,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,213,2,-1,0,,0
60,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,290,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,583,1,-1,0,,0
